Titre,Sous-titre,Auteur,Editeur,Annee,ISBN,Type,Discipline,Langue,Mots-cles,Cote,Nombre d'exemplaires
Le vieux negre et la medaille,,"Oyono, Ferdinand",Julliard,1956,9782266083096,Ouvrage,Lettres,fr,"roman, litterature africaine",LET-010,4
Les soleils des independances,,"Kourouma, Ahmadou",Seuil,1970,9782020049641,livre,Lettres,fr,roman,LET-011,3
Peuples noirs peuples africains,,"Beti, Mongo",Presence Africaine,c1978,9782708704589,livre,Lettres,fr,"essai, politique",LET-012,2
Economie politique de l Afrique,Croissance et institutions,"Berthelemy, Jean-Claude",De Boeck,2015,9782804190613,Ouvrage,Economie,fr,"developpement, croissance",ECO-010,5
Droit du travail senegalais,,"Sylla, Ndiaga",L Harmattan,2018,9782343145679,livre,Droit,fr,droit social,DRT-010,3
Manuel de pediatrie tropicale,,"Diagne, Ibrahima ; Sow, Aliou",Elsevier,2020,9782294765438,livre,Sante,fr,pediatrie,SAN-010,4
Introduction a la statistique,,"Wonnacott, Thomas",Dunod,2019,,Ouvrage,Sciences,fr,statistique,SCI-010,6
,Ligne sans titre : doit etre ecartee,Anonyme,,,,,,,,,1
Les soleils des independances,Doublon volontaire (meme ISBN),"Kourouma, Ahmadou",Seuil,1970,978-2-02-004964-1,livre,Lettres,fr,roman,LET-011,2
Periodique sans annee lisible,,"Collectif",UNESCO,inconnue,9789232017086,periodique,Sciences,fr,revue,REV-001,1
